"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_001MA","B03002_001EA","B03002_002E","B03002_002EA","B03002_002M","B03002_002MA","B03002_003E","B03002_003EA","B03002_003M","B03002_003MA","B03002_004E","B03002_004M","B03002_004MA","B03002_004EA","B03002_005E","B03002_005M","B03002_005MA","B03002_005EA","B03002_006E","B03002_006EA","B03002_006M","B03002_006MA","B03002_007E","B03002_007M","B03002_007MA","B03002_007EA","B03002_008E","B03002_008M","B03002_008MA","B03002_008EA","B03002_009E","B03002_009EA","B03002_009M","B03002_009MA","B03002_010E","B03002_010M","B03002_010MA","B03002_010EA","B03002_011E","B03002_011M","B03002_011MA","B03002_011EA","B03002_012E","B03002_012EA","B03002_012M","B03002_012MA","B03002_013E","B03002_013M","B03002_013MA","B03002_013EA","B03002_014E","B03002_014M","B03002_014MA","B03002_014EA","B03002_015E","B03002_015EA","B03002_015M","B03002_015MA","B03002_016E","B03002_016M","B03002_016MA","B03002_016EA","B03002_017E","B03002_017M","B03002_017MA","B03002_017EA","B03002_018E","B03002_018EA","B03002_018M","B03002_018MA","B03002_019E","B03002_019M","B03002_019MA","B03002_019EA","B03002_020E","B03002_020EA","B03002_020M","B03002_020MA","B03002_021E","B03002_021EA","B03002_021M","B03002_021MA",
"1400000US42101000803","Census Tract 8.03, Philadelphia County, Pennsylvania","3701","346","null","null","3532","null","320","null","2977","null","327","null","27","33","null","null","73","105","null","null","455","null","180","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","169","null","142","null","130","132","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","39","null","46","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101000804","Census Tract 8.04, Philadelphia County, Pennsylvania","2891","357","null","null","2865","null","358","null","2443","null","334","null","0","109","null","null","59","50","null","null","305","null","185","null","0","109","null","null","13","22","null","null","45","null","72","null","0","109","null","null","45","72","null","null","26","null","30","null","11","18","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","15","null","24","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101000901","Census Tract 9.01, Philadelphia County, Pennsylvania","1805","324","null","null","1805","null","324","null","1471","null","200","null","184","240","null","null","0","109","null","null","150","null","79","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101000902","Census Tract 9.02, Philadelphia County, Pennsylvania","2227","350","null","null","2173","null","349","null","1474","null","270","null","169","92","null","null","0","109","null","null","530","null","149","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","54","null","43","null","45","42","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","9","null","15","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101001001","Census Tract 10.01, Philadelphia County, Pennsylvania","2256","254","null","null","2204","null","245","null","2051","null","261","null","76","71","null","null","0","109","null","null","63","null","49","null","0","109","null","null","0","109","null","null","14","null","22","null","0","109","null","null","14","22","null","null","52","null","61","null","52","61","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101001002","Census Tract 10.02, Philadelphia County, Pennsylvania","3476","367","null","null","3381","null","368","null","3206","null","361","null","71","87","null","null","0","109","null","null","88","null","64","null","0","109","null","null","0","109","null","null","16","null","26","null","0","109","null","null","16","26","null","null","95","null","77","null","76","70","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","0","null","109","null","19","29","null","null","0","null","109","null","19","null","29","null",
"1400000US42101001101","Census Tract 11.01, Philadelphia County, Pennsylvania","3211","432","null","null","2889","null","450","null","2472","null","386","null","173","104","null","null","21","34","null","null","155","null","87","null","0","109","null","null","44","69","null","null","24","null","37","null","0","109","null","null","24","37","null","null","322","null","161","null","295","158","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","27","null","45","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101001102","Census Tract 11.02, Philadelphia County, Pennsylvania","2309","334","null","null","2247","null","346","null","1844","null","315","null","59","97","null","null","0","109","null","null","302","null","181","null","0","109","null","null","0","109","null","null","42","null","67","null","0","109","null","null","42","67","null","null","62","null","59","null","62","59","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101001201","Census Tract 12.01, Philadelphia County, Pennsylvania","3305","445","null","null","3046","null","425","null","2778","null","432","null","78","85","null","null","0","109","null","null","137","null","95","null","0","109","null","null","32","44","null","null","21","null","24","null","0","109","null","null","21","24","null","null","259","null","162","null","153","141","null","null","0","109","null","null","48","null","74","null","0","109","null","null","0","109","null","null","35","null","49","null","23","35","null","null","0","null","109","null","23","null","35","null",
"1400000US42101001202","Census Tract 12.02, Philadelphia County, Pennsylvania","4713","506","null","null","4539","null","481","null","3819","null","456","null","307","130","null","null","29","45","null","null","312","null","134","null","0","109","null","null","0","109","null","null","72","null","63","null","0","109","null","null","72","63","null","null","174","null","122","null","119","97","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","55","null","71","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101001300","Census Tract 13, Philadelphia County, Pennsylvania","4822","428","null","null","4724","null","421","null","2546","null","397","null","1935","315","null","null","24","37","null","null","141","null","109","null","0","109","null","null","0","109","null","null","78","null","85","null","0","109","null","null","78","85","null","null","98","null","62","null","98","62","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101001400","Census Tract 14, Philadelphia County, Pennsylvania","3728","470","null","null","3533","null","433","null","2440","null","406","null","645","188","null","null","28","43","null","null","151","null","117","null","0","109","null","null","17","26","null","null","252","null","251","null","0","109","null","null","252","251","null","null","195","null","146","null","172","142","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","23","null","37","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101001500","Census Tract 15, Philadelphia County, Pennsylvania","2600","391","null","null","2371","null","311","null","1775","null","193","null","365","222","null","null","0","109","null","null","170","null","167","null","0","109","null","null","0","109","null","null","61","null","69","null","0","109","null","null","61","69","null","null","229","null","180","null","183","172","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","27","null","33","null","19","27","null","null","19","null","27","null","0","null","109","null",
"1400000US42101001600","Census Tract 16, Philadelphia County, Pennsylvania","2048","285","null","null","1987","null","298","null","1765","null","261","null","140","103","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","82","null","89","null","0","109","null","null","82","89","null","null","61","null","54","null","61","54","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101001700","Census Tract 17, Philadelphia County, Pennsylvania","2830","286","null","null","2624","null","290","null","2292","null","244","null","216","230","null","null","0","109","null","null","116","null","105","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","206","null","134","null","191","133","null","null","15","23","null","null","0","null","109","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101001800","Census Tract 18, Philadelphia County, Pennsylvania","2918","331","null","null","2791","null","323","null","2103","null","313","null","454","161","null","null","19","32","null","null","184","null","161","null","0","109","null","null","0","109","null","null","31","null","49","null","0","109","null","null","31","49","null","null","127","null","141","null","117","141","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","10","null","16","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101001900","Census Tract 19, Philadelphia County, Pennsylvania","2684","610","null","null","2463","null","545","null","1021","null","226","null","1349","403","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","93","null","90","null","0","109","null","null","93","90","null","null","221","null","165","null","186","150","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","35","null","41","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101002000","Census Tract 20, Philadelphia County, Pennsylvania","1870","546","null","null","1848","null","547","null","50","null","58","null","1635","532","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","163","null","158","null","0","109","null","null","163","158","null","null","22","null","25","null","0","109","null","null","22","25","null","null","0","null","109","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101002100","Census Tract 21, Philadelphia County, Pennsylvania","1855","278","null","null","1823","null","269","null","104","null","71","null","1677","276","null","null","0","109","null","null","33","null","47","null","0","109","null","null","0","109","null","null","9","null","17","null","0","109","null","null","9","17","null","null","32","null","51","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","0","null","109","null","32","51","null","null","0","null","109","null","32","null","51","null",
"1400000US42101002200","Census Tract 22, Philadelphia County, Pennsylvania","1830","372","null","null","1658","null","315","null","417","null","196","null","1077","254","null","null","0","109","null","null","120","null","80","null","0","109","null","null","0","109","null","null","44","null","41","null","13","19","null","null","31","36","null","null","172","null","189","null","148","186","null","null","24","30","null","null","0","null","109","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101002300","Census Tract 23, Philadelphia County, Pennsylvania","2631","330","null","null","2115","null","253","null","1494","null","234","null","141","108","null","null","0","109","null","null","447","null","153","null","0","109","null","null","0","109","null","null","33","null","53","null","0","109","null","null","33","53","null","null","516","null","294","null","479","294","null","null","0","109","null","null","0","null","109","null","10","18","null","null","0","109","null","null","12","null","22","null","15","27","null","null","15","null","27","null","0","null","109","null",
"1400000US42101002400","Census Tract 24, Philadelphia County, Pennsylvania","4549","1028","null","null","3474","null","455","null","2566","null","359","null","336","137","null","null","0","109","null","null","498","null","286","null","0","109","null","null","74","97","null","null","0","null","109","null","0","109","null","null","0","109","null","null","1075","null","991","null","939","1000","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","120","null","144","null","16","31","null","null","16","null","31","null","0","null","109","null",
"1400000US42101002500","Census Tract 25, Philadelphia County, Pennsylvania","3618","425","null","null","3183","null","352","null","1687","null","246","null","1164","263","null","null","0","109","null","null","274","null","253","null","0","109","null","null","9","15","null","null","49","null","38","null","6","10","null","null","43","37","null","null","435","null","267","null","187","126","null","null","38","56","null","null","0","null","109","null","0","109","null","null","0","109","null","null","173","null","216","null","37","59","null","null","0","null","109","null","37","null","59","null",
"1400000US42101002701","Census Tract 27.01, Philadelphia County, Pennsylvania","3523","611","null","null","2865","null","605","null","836","null","240","null","1140","413","null","null","0","109","null","null","792","null","430","null","0","109","null","null","66","105","null","null","31","null","35","null","0","109","null","null","31","35","null","null","658","null","391","null","325","213","null","null","38","61","null","null","0","null","109","null","0","109","null","null","0","109","null","null","242","null","312","null","53","94","null","null","53","null","94","null","0","null","109","null",
"1400000US42101002702","Census Tract 27.02, Philadelphia County, Pennsylvania","3339","437","null","null","3339","null","437","null","3208","null","440","null","0","109","null","null","0","109","null","null","131","null","123","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101002801","Census Tract 28.01, Philadelphia County, Pennsylvania","4305","684","null","null","3078","null","459","null","1057","null","309","null","306","107","null","null","0","109","null","null","1715","null","380","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","1227","null","632","null","1085","612","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","142","null","168","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101002802","Census Tract 28.02, Philadelphia County, Pennsylvania","5048","576","null","null","4631","null","511","null","3434","null","476","null","149","185","null","null","0","109","null","null","1015","null","259","null","0","109","null","null","0","109","null","null","33","null","31","null","0","109","null","null","33","31","null","null","417","null","289","null","213","191","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","204","null","178","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101002900","Census Tract 29, Philadelphia County, Pennsylvania","3788","256","null","null","3708","null","254","null","3388","null","294","null","109","135","null","null","0","109","null","null","146","null","163","null","0","109","null","null","0","109","null","null","65","null","67","null","0","109","null","null","65","67","null","null","80","null","68","null","58","61","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","11","null","18","null","11","18","null","null","0","null","109","null","11","null","18","null",
"1400000US42101003001","Census Tract 30.01, Philadelphia County, Pennsylvania","4320","551","null","null","4145","null","538","null","778","null","238","null","1053","421","null","null","36","38","null","null","2011","null","432","null","0","109","null","null","11","17","null","null","256","null","191","null","0","109","null","null","256","191","null","null","175","null","185","null","0","109","null","null","0","109","null","null","0","null","109","null","15","24","null","null","0","109","null","null","105","null","167","null","55","86","null","null","0","null","109","null","55","null","86","null",
"1400000US42101003002","Census Tract 30.02, Philadelphia County, Pennsylvania","3132","688","null","null","3099","null","688","null","543","null","211","null","2201","548","null","null","0","109","null","null","334","null","313","null","0","109","null","null","0","109","null","null","21","null","43","null","0","109","null","null","21","43","null","null","33","null","53","null","33","53","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101003100","Census Tract 31, Philadelphia County, Pennsylvania","3965","738","null","null","3886","null","745","null","217","null","278","null","3669","833","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","79","null","69","null","0","109","null","null","67","72","null","null","0","null","109","null","0","109","null","null","0","109","null","null","12","null","25","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101003200","Census Tract 32, Philadelphia County, Pennsylvania","4857","889","null","null","4857","null","889","null","329","null","224","null","4454","918","null","null","57","81","null","null","0","null","109","null","0","109","null","null","17","27","null","null","0","null","109","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101003300","Census Tract 33, Philadelphia County, Pennsylvania","6420","923","null","null","6382","null","930","null","1207","null","382","null","4697","957","null","null","0","109","null","null","414","null","339","null","0","109","null","null","0","109","null","null","64","null","64","null","0","109","null","null","64","64","null","null","38","null","65","null","11","18","null","null","27","47","null","null","0","null","109","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101003600","Census Tract 36, Philadelphia County, Pennsylvania","6996","857","null","null","6318","null","866","null","1340","null","376","null","3905","726","null","null","11","19","null","null","947","null","444","null","0","109","null","null","22","36","null","null","93","null","84","null","0","109","null","null","93","84","null","null","678","null","645","null","81","93","null","null","233","284","null","null","0","null","109","null","0","109","null","null","0","109","null","null","108","null","86","null","256","289","null","null","256","null","289","null","0","null","109","null",
"1400000US42101003701","Census Tract 37.01, Philadelphia County, Pennsylvania","7141","872","null","null","6853","null","894","null","347","null","212","null","5050","836","null","null","23","45","null","null","1308","null","525","null","0","109","null","null","0","109","null","null","125","null","128","null","0","109","null","null","125","128","null","null","288","null","286","null","0","109","null","null","203","259","null","null","0","null","109","null","0","109","null","null","0","109","null","null","70","null","120","null","15","29","null","null","15","null","29","null","0","null","109","null",
"1400000US42101003702","Census Tract 37.02, Philadelphia County, Pennsylvania","3116","356","null","null","2894","null","362","null","837","null","211","null","1577","312","null","null","0","109","null","null","480","null","156","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","222","null","178","null","143","145","null","null","79","115","null","null","0","null","109","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101003800","Census Tract 38, Philadelphia County, Pennsylvania","3866","314","null","null","3835","null","307","null","3679","null","274","null","0","109","null","null","0","109","null","null","156","null","181","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","31","null","36","null","31","36","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101003901","Census Tract 39.01, Philadelphia County, Pennsylvania","6746","699","null","null","6355","null","720","null","4139","null","569","null","773","460","null","null","11","19","null","null","1409","null","461","null","0","109","null","null","0","109","null","null","23","null","35","null","0","109","null","null","23","35","null","null","391","null","250","null","107","135","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","284","null","223","null","0","109","null","null","0","null","109","null","0","null","109","null",
