"GEO_ID","NAME","B15002_001E","B15002_001M","B15002_001MA","B15002_001EA","B15002_002E","B15002_002M","B15002_002MA","B15002_002EA","B15002_003E","B15002_003EA","B15002_003M","B15002_003MA","B15002_004E","B15002_004EA","B15002_004M","B15002_004MA","B15002_005E","B15002_005M","B15002_005MA","B15002_005EA","B15002_006E","B15002_006EA","B15002_006M","B15002_006MA","B15002_007E","B15002_007M","B15002_007MA","B15002_007EA","B15002_008E","B15002_008M","B15002_008MA","B15002_008EA","B15002_009E","B15002_009M","B15002_009MA","B15002_009EA","B15002_010E","B15002_010M","B15002_010MA","B15002_010EA","B15002_011E","B15002_011M","B15002_011MA","B15002_011EA","B15002_012E","B15002_012M","B15002_012MA","B15002_012EA","B15002_013E","B15002_013EA","B15002_013M","B15002_013MA","B15002_014E","B15002_014EA","B15002_014M","B15002_014MA","B15002_015E","B15002_015M","B15002_015MA","B15002_015EA","B15002_016E","B15002_016M","B15002_016MA","B15002_016EA","B15002_017E","B15002_017M","B15002_017MA","B15002_017EA","B15002_018E","B15002_018M","B15002_018MA","B15002_018EA","B15002_019E","B15002_019M","B15002_019MA","B15002_019EA","B15002_020E","B15002_020M","B15002_020MA","B15002_020EA","B15002_021E","B15002_021M","B15002_021MA","B15002_021EA","B15002_022E","B15002_022M","B15002_022MA","B15002_022EA","B15002_023E","B15002_023M","B15002_023MA","B15002_023EA","B15002_024E","B15002_024M","B15002_024MA","B15002_024EA","B15002_025E","B15002_025M","B15002_025MA","B15002_025EA","B15002_026E","B15002_026M","B15002_026MA","B15002_026EA","B15002_027E","B15002_027M","B15002_027MA","B15002_027EA","B15002_028E","B15002_028M","B15002_028MA","B15002_028EA","B15002_029E","B15002_029M","B15002_029MA","B15002_029EA","B15002_030E","B15002_030M","B15002_030MA","B15002_030EA","B15002_031E","B15002_031M","B15002_031MA","B15002_031EA","B15002_032E","B15002_032M","B15002_032MA","B15002_032EA","B15002_033E","B15002_033EA","B15002_033M","B15002_033MA","B15002_034E","B15002_034EA","B15002_034M","B15002_034MA","B15002_035E","B15002_035M","B15002_035MA","B15002_035EA",
"1400000US42101000701","Census Tract 7.01, Philadelphia County, Pennsylvania","1434","309","null","null","663","163","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","null","11","null","46","null","60","null","180","91","null","null","182","109","null","null","179","95","null","null","76","74","null","null","771","237","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","36","42","null","null","0","11","null","null","35","40","null","null","0","11","null","null","0","11","null","null","304","245","null","null","137","null","93","null","171","null","47","null","88","73","null","null",
"1400000US42101000702","Census Tract 7.02, Philadelphia County, Pennsylvania","1867","545","null","null","1020","450","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","0","11","null","null","0","11","null","null","0","11","null","null","46","71","null","null","50","48","null","null","0","11","null","null","28","null","32","null","43","null","39","null","181","90","null","null","459","400","null","null","112","95","null","null","101","73","null","null","847","199","null","null","0","11","null","null","0","11","null","null","0","11","null","null","14","23","null","null","0","11","null","null","13","21","null","null","0","11","null","null","0","11","null","null","29","36","null","null","27","31","null","null","64","48","null","null","25","29","null","null","431","160","null","null","121","null","64","null","93","null","75","null","30","34","null","null",
"1400000US42101000801","Census Tract 8.01, Philadelphia County, Pennsylvania","1243","275","null","null","616","164","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","26","26","null","null","19","25","null","null","12","null","18","null","0","null","11","null","265","90","null","null","148","146","null","null","106","53","null","null","40","31","null","null","627","156","null","null","0","11","null","null","0","11","null","null","0","11","null","null","11","16","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","6","13","null","null","0","11","null","null","0","11","null","null","25","29","null","null","276","129","null","null","78","null","47","null","157","null","105","null","74","53","null","null",
"1400000US42101000803","Census Tract 8.03, Philadelphia County, Pennsylvania","2542","542","null","null","1237","340","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","1","2","null","null","0","11","null","null","0","11","null","null","0","11","null","null","15","24","null","null","0","11","null","null","67","null","106","null","0","null","11","null","424","229","null","null","328","148","null","null","270","117","null","null","132","86","null","null","1305","303","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","55","89","null","null","65","54","null","null","596","237","null","null","307","null","145","null","144","null","97","null","138","72","null","null",
"1400000US42101000805","Census Tract 8.05, Philadelphia County, Pennsylvania","2289","417","null","null","1033","253","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","0","11","null","null","0","11","null","null","0","11","null","null","15","24","null","null","43","69","null","null","0","11","null","null","15","null","23","null","0","null","11","null","391","177","null","null","137","71","null","null","263","128","null","null","169","163","null","null","1256","285","null","null","16","25","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","57","71","null","null","14","23","null","null","20","35","null","null","0","11","null","null","577","231","null","null","342","null","149","null","182","null","117","null","48","44","null","null",
"1400000US42101000806","Census Tract 8.06, Philadelphia County, Pennsylvania","1885","283","null","null","977","175","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","48","71","null","null","45","null","54","null","65","null","52","null","352","147","null","null","76","60","null","null","296","142","null","null","95","69","null","null","908","211","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","46","72","null","null","0","11","null","null","14","23","null","null","0","11","null","null","362","160","null","null","144","null","88","null","236","null","131","null","106","80","null","null",
"1400000US42101000901","Census Tract 9.01, Philadelphia County, Pennsylvania","1731","322","null","null","956","208","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","100","61","null","null","17","19","null","null","46","null","30","null","40","null","34","null","301","92","null","null","238","126","null","null","115","98","null","null","99","69","null","null","775","191","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","9","15","null","null","0","11","null","null","74","64","null","null","6","27","null","null","426","157","null","null","183","null","96","null","62","null","43","null","15","18","null","null",
"1400000US42101000902","Census Tract 9.02, Philadelphia County, Pennsylvania","2251","377","null","null","1078","253","null","null","42","null","51","null","0","null","11","null","13","19","null","null","11","null","18","null","0","11","null","null","54","83","null","null","0","11","null","null","0","11","null","null","146","109","null","null","15","18","null","null","52","null","42","null","7","null","12","null","374","170","null","null","156","102","null","null","170","59","null","null","38","28","null","null","1173","212","null","null","22","23","null","null","0","11","null","null","30","26","null","null","22","25","null","null","0","11","null","null","0","11","null","null","0","11","null","null","12","18","null","null","165","114","null","null","12","19","null","null","63","59","null","null","26","29","null","null","495","161","null","null","162","null","71","null","106","null","41","null","58","40","null","null",
"1400000US42101001001","Census Tract 10.01, Philadelphia County, Pennsylvania","2518","474","null","null","1131","251","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","114","80","null","null","9","14","null","null","39","null","32","null","9","null","14","null","380","226","null","null","231","90","null","null","198","61","null","null","151","90","null","null","1387","285","null","null","8","13","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","70","40","null","null","9","14","null","null","52","36","null","null","0","11","null","null","682","282","null","null","346","null","126","null","171","null","76","null","49","47","null","null",
"1400000US42101001002","Census Tract 10.02, Philadelphia County, Pennsylvania","2670","331","null","null","1081","195","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","83","null","64","null","67","null","64","null","362","157","null","null","184","85","null","null","278","119","null","null","107","86","null","null","1589","238","null","null","9","20","null","null","0","11","null","null","45","72","null","null","0","11","null","null","0","11","null","null","20","24","null","null","0","11","null","null","0","11","null","null","41","41","null","null","53","48","null","null","73","78","null","null","24","27","null","null","649","171","null","null","499","null","152","null","132","null","99","null","44","42","null","null",
"1400000US42101001101","Census Tract 11.01, Philadelphia County, Pennsylvania","3010","408","null","null","1334","267","null","null","13","null","21","null","0","null","11","null","0","11","null","null","0","null","11","null","0","11","null","null","14","31","null","null","0","11","null","null","14","23","null","null","143","102","null","null","39","44","null","null","52","null","46","null","62","null","63","null","394","122","null","null","398","194","null","null","170","91","null","null","35","37","null","null","1676","370","null","null","0","11","null","null","0","11","null","null","0","11","null","null","4","9","null","null","0","11","null","null","4","9","null","null","0","11","null","null","7","17","null","null","134","84","null","null","44","40","null","null","205","204","null","null","67","66","null","null","694","207","null","null","346","null","151","null","138","null","69","null","33","31","null","null",
"1400000US42101001102","Census Tract 11.02, Philadelphia County, Pennsylvania","2168","402","null","null","1049","227","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","13","21","null","null","0","11","null","null","16","null","18","null","40","null","50","null","441","136","null","null","272","133","null","null","125","61","null","null","142","145","null","null","1119","219","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","12","20","null","null","25","23","null","null","33","36","null","null","571","216","null","null","214","null","82","null","163","null","65","null","101","46","null","null",
"1400000US42101001201","Census Tract 12.01, Philadelphia County, Pennsylvania","3149","540","null","null","1616","316","null","null","0","null","11","null","0","null","11","null","13","22","null","null","0","null","11","null","0","11","null","null","0","11","null","null","6","9","null","null","3","7","null","null","53","40","null","null","0","11","null","null","124","null","74","null","3","null","7","null","640","203","null","null","272","105","null","null","337","228","null","null","165","70","null","null","1533","302","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","13","21","null","null","65","68","null","null","0","11","null","null","105","84","null","null","18","21","null","null","477","164","null","null","575","null","183","null","173","null","85","null","107","51","null","null",
"1400000US42101001203","Census Tract 12.03, Philadelphia County, Pennsylvania","1550","290","null","null","732","258","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","0","11","null","null","0","11","null","null","20","29","null","null","0","11","null","null","50","64","null","null","49","57","null","null","6","null","7","null","12","null","21","null","258","139","null","null","187","119","null","null","137","66","null","null","13","21","null","null","818","159","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","51","50","null","null","5","14","null","null","11","18","null","null","25","29","null","null","376","149","null","null","158","null","87","null","106","null","78","null","86","44","null","null",
"1400000US42101001204","Census Tract 12.04, Philadelphia County, Pennsylvania","2668","346","null","null","1368","199","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","11","16","null","null","5","12","null","null","5","11","null","null","6","12","null","null","38","32","null","null","14","25","null","null","142","null","89","null","30","null","48","null","472","140","null","null","263","121","null","null","258","82","null","null","124","96","null","null","1300","215","null","null","0","11","null","null","6","12","null","null","5","12","null","null","5","10","null","null","0","11","null","null","6","12","null","null","10","13","null","null","0","11","null","null","55","58","null","null","18","24","null","null","12","24","null","null","46","40","null","null","590","148","null","null","326","null","125","null","88","null","51","null","133","84","null","null",
"1400000US42101001301","Census Tract 13.01, Philadelphia County, Pennsylvania","1223","384","null","null","519","179","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","28","41","null","null","0","11","null","null","17","null","23","null","0","null","11","null","285","101","null","null","139","150","null","null","50","53","null","null","0","11","null","null","704","267","null","null","9","24","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","15","26","null","null","0","11","null","null","0","11","null","null","44","43","null","null","0","11","null","null","8","12","null","null","67","98","null","null","269","176","null","null","267","null","131","null","25","null","30","null","0","11","null","null",
