"GEO_ID","NAME","B15002_001E","B15002_001M","B15002_001MA","B15002_001EA","B15002_002E","B15002_002EA","B15002_002M","B15002_002MA","B15002_003E","B15002_003M","B15002_003MA","B15002_003EA","B15002_004E","B15002_004M","B15002_004MA","B15002_004EA","B15002_005E","B15002_005M","B15002_005MA","B15002_005EA","B15002_006E","B15002_006EA","B15002_006M","B15002_006MA","B15002_007E","B15002_007M","B15002_007MA","B15002_007EA","B15002_008E","B15002_008EA","B15002_008M","B15002_008MA","B15002_009E","B15002_009EA","B15002_009M","B15002_009MA","B15002_010E","B15002_010M","B15002_010MA","B15002_010EA","B15002_011E","B15002_011M","B15002_011MA","B15002_011EA","B15002_012E","B15002_012EA","B15002_012M","B15002_012MA","B15002_013E","B15002_013M","B15002_013MA","B15002_013EA","B15002_014E","B15002_014M","B15002_014MA","B15002_014EA","B15002_015E","B15002_015EA","B15002_015M","B15002_015MA","B15002_016E","B15002_016EA","B15002_016M","B15002_016MA","B15002_017E","B15002_017M","B15002_017MA","B15002_017EA","B15002_018E","B15002_018EA","B15002_018M","B15002_018MA","B15002_019E","B15002_019M","B15002_019MA","B15002_019EA","B15002_020E","B15002_020EA","B15002_020M","B15002_020MA","B15002_021E","B15002_021EA","B15002_021M","B15002_021MA","B15002_022E","B15002_022EA","B15002_022M","B15002_022MA","B15002_023E","B15002_023M","B15002_023MA","B15002_023EA","B15002_024E","B15002_024EA","B15002_024M","B15002_024MA","B15002_025E","B15002_025EA","B15002_025M","B15002_025MA","B15002_026E","B15002_026EA","B15002_026M","B15002_026MA","B15002_027E","B15002_027M","B15002_027MA","B15002_027EA","B15002_028E","B15002_028EA","B15002_028M","B15002_028MA","B15002_029E","B15002_029M","B15002_029MA","B15002_029EA","B15002_030E","B15002_030M","B15002_030MA","B15002_030EA","B15002_031E","B15002_031EA","B15002_031M","B15002_031MA","B15002_032E","B15002_032M","B15002_032MA","B15002_032EA","B15002_033E","B15002_033M","B15002_033MA","B15002_033EA","B15002_034E","B15002_034EA","B15002_034M","B15002_034MA","B15002_035E","B15002_035EA","B15002_035M","B15002_035MA",
"1400000US42101000803","Census Tract 8.03, Philadelphia County, Pennsylvania","3322","289","null","null","1570","null","226","null","0","109","null","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","null","109","null","0","null","109","null","0","109","null","null","73","105","null","null","49","null","53","null","79","68","null","null","6","11","null","null","407","null","175","null","489","null","175","null","222","98","null","null","245","null","123","null","1752","229","null","null","0","null","109","null","0","null","109","null","0","null","109","null","0","109","null","null","0","null","109","null","0","null","109","null","0","null","109","null","0","109","null","null","103","null","55","null","25","37","null","null","39","43","null","null","40","null","42","null","625","174","null","null","487","164","null","null","352","null","171","null","81","null","54","null",
"1400000US42101000804","Census Tract 8.04, Philadelphia County, Pennsylvania","2542","330","null","null","1224","null","245","null","9","13","null","null","0","109","null","null","0","109","null","null","8","null","11","null","0","109","null","null","0","null","109","null","0","null","109","null","0","109","null","null","14","22","null","null","0","null","109","null","123","84","null","null","26","28","null","null","362","null","138","null","340","null","180","null","232","111","null","null","110","null","67","null","1318","223","null","null","0","null","109","null","0","null","109","null","0","null","109","null","0","109","null","null","0","null","109","null","0","null","109","null","0","null","109","null","0","109","null","null","72","null","47","null","22","24","null","null","83","46","null","null","15","null","24","null","534","160","null","null","375","125","null","null","193","null","98","null","24","null","27","null",
"1400000US42101000901","Census Tract 9.01, Philadelphia County, Pennsylvania","1540","330","null","null","837","null","311","null","0","109","null","null","0","109","null","null","0","109","null","null","17","null","30","null","0","109","null","null","0","null","109","null","0","null","109","null","17","28","null","null","31","34","null","null","89","null","141","null","16","25","null","null","32","38","null","null","337","null","122","null","134","null","106","null","114","75","null","null","50","null","69","null","703","155","null","null","0","null","109","null","0","null","109","null","0","null","109","null","0","109","null","null","0","null","109","null","0","null","109","null","0","null","109","null","0","109","null","null","72","null","74","null","0","109","null","null","62","77","null","null","61","null","45","null","222","115","null","null","167","108","null","null","53","null","50","null","66","null","55","null",
"1400000US42101000902","Census Tract 9.02, Philadelphia County, Pennsylvania","1558","252","null","null","673","null","156","null","0","109","null","null","0","109","null","null","0","109","null","null","31","null","25","null","0","109","null","null","14","null","23","null","18","null","27","null","42","47","null","null","107","65","null","null","0","null","109","null","72","75","null","null","0","109","null","null","178","null","73","null","41","null","33","null","105","60","null","null","65","null","51","null","885","172","null","null","51","null","54","null","12","null","19","null","0","null","109","null","22","33","null","null","24","null","29","null","0","null","109","null","44","null","66","null","25","30","null","null","64","null","49","null","14","23","null","null","27","37","null","null","0","null","109","null","340","144","null","null","85","47","null","null","132","null","66","null","45","null","36","null",
"1400000US42101001001","Census Tract 10.01, Philadelphia County, Pennsylvania","1983","223","null","null","877","null","166","null","0","109","null","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","null","109","null","0","null","109","null","0","109","null","null","86","47","null","null","56","null","39","null","50","40","null","null","11","20","null","null","188","null","106","null","189","null","76","null","220","86","null","null","77","null","50","null","1106","124","null","null","0","null","109","null","0","null","109","null","0","null","109","null","0","109","null","null","65","null","64","null","0","null","109","null","10","null","17","null","0","109","null","null","138","null","58","null","9","14","null","null","45","42","null","null","51","null","64","null","332","123","null","null","227","82","null","null","186","null","87","null","43","null","42","null",
"1400000US42101001002","Census Tract 10.02, Philadelphia County, Pennsylvania","2803","408","null","null","1209","null","195","null","16","26","null","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","null","109","null","0","null","109","null","0","109","null","null","74","57","null","null","0","null","109","null","126","73","null","null","47","50","null","null","237","null","94","null","187","null","96","null","346","126","null","null","176","null","97","null","1594","334","null","null","0","null","109","null","0","null","109","null","0","null","109","null","0","109","null","null","0","null","109","null","49","null","55","null","10","null","16","null","30","48","null","null","43","null","41","null","25","28","null","null","98","58","null","null","83","null","60","null","458","241","null","null","488","160","null","null","194","null","92","null","116","null","72","null",
"1400000US42101001101","Census Tract 11.01, Philadelphia County, Pennsylvania","2529","385","null","null","1312","null","218","null","0","109","null","null","0","109","null","null","0","109","null","null","0","null","109","null","10","17","null","null","14","null","23","null","0","null","109","null","0","109","null","null","50","46","null","null","41","null","41","null","178","108","null","null","69","55","null","null","349","null","111","null","194","null","109","null","322","178","null","null","85","null","60","null","1217","384","null","null","0","null","109","null","0","null","109","null","0","null","109","null","13","21","null","null","76","null","63","null","11","null","18","null","10","null","15","null","0","109","null","null","173","null","199","null","15","27","null","null","65","51","null","null","11","null","19","null","350","151","null","null","280","95","null","null","159","null","106","null","54","null","49","null",
"1400000US42101001102","Census Tract 11.02, Philadelphia County, Pennsylvania","1830","287","null","null","909","null","242","null","0","109","null","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","null","109","null","0","null","109","null","0","109","null","null","51","69","null","null","4","null","10","null","28","44","null","null","76","56","null","null","355","null","197","null","183","null","102","null","164","80","null","null","48","null","43","null","921","202","null","null","0","null","109","null","0","null","109","null","0","null","109","null","0","109","null","null","0","null","109","null","0","null","109","null","0","null","109","null","0","109","null","null","34","null","42","null","0","109","null","null","0","109","null","null","1","null","16","null","319","110","null","null","390","214","null","null","83","null","64","null","94","null","70","null",
"1400000US42101001201","Census Tract 12.01, Philadelphia County, Pennsylvania","2617","401","null","null","1271","null","293","null","0","109","null","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","null","109","null","0","null","109","null","0","109","null","null","5","10","null","null","30","null","29","null","170","132","null","null","0","109","null","null","502","null","191","null","302","null","123","null","156","78","null","null","106","null","53","null","1346","231","null","null","0","null","109","null","0","null","109","null","0","null","109","null","0","109","null","null","0","null","109","null","0","null","109","null","0","null","109","null","18","32","null","null","78","null","56","null","0","109","null","null","149","134","null","null","110","null","113","null","336","142","null","null","273","94","null","null","171","null","92","null","211","null","84","null",
"1400000US42101001202","Census Tract 12.02, Philadelphia County, Pennsylvania","3819","464","null","null","1848","null","358","null","0","109","null","null","0","109","null","null","0","109","null","null","16","null","26","null","41","66","null","null","0","null","109","null","18","null","29","null","0","109","null","null","67","69","null","null","15","null","24","null","115","75","null","null","37","43","null","null","659","null","221","null","512","null","218","null","291","106","null","null","77","null","47","null","1971","348","null","null","0","null","109","null","0","null","109","null","0","null","109","null","0","109","null","null","0","null","109","null","20","null","32","null","63","null","106","null","0","109","null","null","87","null","57","null","0","109","null","null","149","134","null","null","142","null","116","null","856","185","null","null","488","157","null","null","137","null","80","null","29","null","28","null",
"1400000US42101001300","Census Tract 13, Philadelphia County, Pennsylvania","3762","433","null","null","2040","null","319","null","0","109","null","null","0","109","null","null","12","18","null","null","27","null","30","null","15","24","null","null","30","null","33","null","77","null","74","null","106","79","null","null","424","207","null","null","235","null","157","null","186","109","null","null","46","48","null","null","360","null","122","null","349","null","143","null","82","48","null","null","91","null","59","null","1722","217","null","null","18","null","28","null","0","null","109","null","0","null","109","null","0","109","null","null","0","null","109","null","46","null","43","null","59","null","49","null","15","24","null","null","309","null","113","null","90","56","null","null","105","61","null","null","46","null","48","null","467","130","null","null","354","122","null","null","143","null","83","null","70","null","75","null",
"1400000US42101001400","Census Tract 14, Philadelphia County, Pennsylvania","2915","379","null","null","1481","null","242","null","0","109","null","null","0","109","null","null","0","109","null","null","17","null","27","null","0","109","null","null","0","null","109","null","0","null","109","null","22","34","null","null","226","121","null","null","16","null","27","null","43","41","null","null","115","127","null","null","566","null","177","null","338","null","137","null","91","62","null","null","47","null","43","null","1434","208","null","null","0","null","109","null","0","null","109","null","64","null","79","null","16","25","null","null","0","null","109","null","47","null","45","null","57","null","53","null","0","109","null","null","92","null","82","null","13","22","null","null","192","104","null","null","56","null","58","null","557","178","null","null","283","105","null","null","29","null","33","null","28","null","31","null",
"1400000US42101001500","Census Tract 15, Philadelphia County, Pennsylvania","2133","287","null","null","1247","null","244","null","18","33","null","null","0","109","null","null","0","109","null","null","13","null","23","null","13","23","null","null","88","null","80","null","35","null","40","null","23","26","null","null","174","111","null","null","49","null","50","null","154","84","null","null","31","30","null","null","379","null","118","null","160","null","75","null","71","38","null","null","39","null","33","null","886","124","null","null","0","null","109","null","0","null","109","null","0","null","109","null","28","45","null","null","0","null","109","null","10","null","15","null","0","null","109","null","23","26","null","null","100","null","59","null","0","109","null","null","106","61","null","null","38","null","36","null","214","76","null","null","233","88","null","null","78","null","44","null","56","null","45","null",
"1400000US42101001600","Census Tract 16, Philadelphia County, Pennsylvania","1566","210","null","null","822","null","154","null","0","109","null","null","0","109","null","null","10","15","null","null","26","null","38","null","0","109","null","null","0","null","109","null","0","null","109","null","0","109","null","null","81","60","null","null","32","null","38","null","72","42","null","null","28","29","null","null","341","null","143","null","134","null","63","null","43","29","null","null","55","null","38","null","744","135","null","null","0","null","109","null","0","null","109","null","0","null","109","null","9","14","null","null","0","null","109","null","6","null","12","null","0","null","109","null","0","109","null","null","113","null","97","null","40","38","null","null","23","26","null","null","95","null","56","null","260","79","null","null","107","52","null","null","58","null","32","null","33","null","32","null",
"1400000US42101001700","Census Tract 17, Philadelphia County, Pennsylvania","2340","251","null","null","1118","null","135","null","0","109","null","null","0","109","null","null","29","46","null","null","10","null","21","null","0","109","null","null","23","null","21","null","0","null","109","null","0","109","null","null","55","45","null","null","17","null","21","null","100","74","null","null","70","54","null","null","458","null","129","null","197","null","75","null","51","40","null","null","108","null","56","null","1222","236","null","null","30","null","47","null","8","null","13","null","8","null","12","null","0","109","null","null","0","null","109","null","0","null","109","null","22","null","30","null","0","109","null","null","150","null","92","null","11","17","null","null","99","70","null","null","118","null","139","null","384","140","null","null","298","87","null","null","55","null","36","null","39","null","28","null",
"1400000US42101001800","Census Tract 18, Philadelphia County, Pennsylvania","2220","258","null","null","1158","null","172","null","14","21","null","null","0","109","null","null","5","10","null","null","5","null","8","null","0","109","null","null","20","null","26","null","61","null","74","null","24","28","null","null","214","92","null","null","29","null","38","null","78","50","null","null","33","52","null","null","392","null","147","null","83","null","47","null","171","76","null","null","29","null","20","null","1062","180","null","null","13","null","20","null","0","null","109","null","5","null","9","null","21","28","null","null","66","null","56","null","0","null","109","null","40","null","37","null","35","42","null","null","252","null","111","null","0","109","null","null","13","16","null","null","22","null","25","null","296","96","null","null","201","101","null","null","65","null","32","null","33","null","29","null",
"1400000US42101001900","Census Tract 19, Philadelphia County, Pennsylvania","2120","525","null","null","1184","null","337","null","0","109","null","null","23","38","null","null","31","50","null","null","0","null","109","null","0","109","null","null","173","null","140","null","8","null","13","null","32","56","null","null","321","154","null","null","49","null","60","null","122","77","null","null","26","40","null","null","261","null","89","null","109","null","59","null","20","22","null","null","9","null","14","null","936","244","null","null","0","null","109","null","24","null","38","null","32","null","42","null","46","76","null","null","23","null","38","null","34","null","35","null","35","null","41","null","0","109","null","null","186","null","86","null","29","40","null","null","20","36","null","null","26","null","42","null","274","116","null","null","87","64","null","null","87","null","56","null","33","null","37","null",
